type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,1130403,26.45,100841.58,1008.42,95.40,4,82.01,,,
read,1131414,26.45,100841.47,1008.41,95.41,4,82.02,,,
read,1132426,26.45,100841.57,1008.42,95.40,4,82.01,,,
read,1133442,26.46,100841.69,1008.42,95.39,4,82.00,,,
read,1134444,26.46,100841.59,1008.42,95.40,4,82.01,,,
read,1135445,26.46,100841.99,1008.42,95.37,4,81.97,,,
read,1136450,26.46,100842.26,1008.42,95.34,4,81.95,,,
read,1137436,26.46,100841.83,1008.42,95.38,4,81.99,,,
read,1138444,26.46,100842.14,1008.42,95.35,4,81.96,,,
read,1139451,26.46,100841.99,1008.42,95.37,4,81.97,,,
read,1140465,26.46,100841.90,1008.42,95.37,4,81.98,,,
read,1141483,26.46,100842.08,1008.42,95.36,4,81.97,,,
read,1142498,26.46,100842.16,1008.42,95.35,4,81.96,,,
read,1143509,26.46,100842.36,1008.42,95.34,4,81.94,,,
read,1144524,26.46,100842.45,1008.42,95.33,4,81.94,,,
read,1145535,26.46,100842.42,1008.42,95.33,4,81.94,,,
read,1146553,26.46,100842.66,1008.43,95.31,4,81.92,,,
read,1147554,26.46,100842.80,1008.43,95.30,4,81.91,,,
read,1148560,26.46,100842.83,1008.43,95.30,4,81.91,,,
read,1149580,26.46,100843.10,1008.43,95.27,4,81.88,,,
read,1150584,26.46,100843.14,1008.43,95.27,4,81.88,,,
read,1151592,26.46,100842.96,1008.43,95.29,4,81.89,,,
read,1152597,26.46,100842.71,1008.43,95.31,4,81.91,,,
read,1153601,26.46,100842.58,1008.43,95.32,4,81.93,,,
read,1154617,26.46,100843.09,1008.43,95.28,4,81.88,,,
read,1155634,26.46,100843.30,1008.43,95.26,4,81.87,,,
read,1156643,26.46,100843.52,1008.44,95.24,4,81.85,,,
read,1157661,26.47,100842.86,1008.43,95.29,4,81.90,,,
read,1158664,26.47,100842.59,1008.43,95.32,4,81.93,,,
read,1159668,26.47,100842.44,1008.42,95.33,4,81.94,,,
read,1160684,26.47,100842.16,1008.42,95.35,4,81.96,,,
read,1161703,26.47,100842.02,1008.42,95.36,4,81.97,,,
read,1162708,26.47,100841.39,1008.41,95.42,4,82.03,,,
read,1163711,26.47,100841.30,1008.41,95.43,4,82.03,,,
read,1164714,26.47,100841.35,1008.41,95.42,4,82.03,,,
read,1165724,26.47,100841.17,1008.41,95.44,4,82.04,,,
read,1166735,26.47,100840.59,1008.41,95.48,4,82.09,,,
read,1167746,26.47,100840.55,1008.41,95.49,4,82.10,,,
read,1168758,26.47,100840.31,1008.40,95.51,4,82.12,,,
read,1169752,26.47,100839.92,1008.40,95.54,4,82.15,,,
read,1170768,26.47,100839.84,1008.40,95.55,4,82.15,,,
read,1171772,26.47,100840.02,1008.40,95.53,4,82.14,,,
read,1172776,26.47,100840.15,1008.40,95.52,4,82.13,,,
read,1173792,26.47,100840.12,1008.40,95.52,4,82.13,,,
read,1174812,26.47,100840.70,1008.41,95.47,4,82.08,,,
read,1175828,26.47,100840.77,1008.41,95.47,4,82.08,,,
read,1176834,26.48,100841.20,1008.41,95.43,4,82.04,,,
read,1177841,26.47,100841.63,1008.42,95.40,4,82.01,,,
read,1178852,26.47,100841.92,1008.42,95.37,4,81.98,,,
read,1179856,26.47,100842.27,1008.42,95.34,4,81.95,,,
read,1180864,26.47,100842.11,1008.42,95.36,4,81.97,,,
read,1181874,26.47,100842.34,1008.42,95.34,4,81.95,,,
read,1182885,26.47,100842.70,1008.43,95.31,4,81.92,,,
read,1183895,26.47,100842.47,1008.42,95.33,4,81.94,,,
read,1184907,26.47,100842.73,1008.43,95.31,4,81.91,,,
read,1185903,26.47,100843.48,1008.43,95.24,4,81.85,,,
read,1186908,26.47,100843.26,1008.43,95.26,4,81.87,,,
read,1187910,26.47,100843.20,1008.43,95.27,4,81.87,,,
read,1188915,26.47,100843.57,1008.44,95.24,4,81.84,,,
read,1189918,26.47,100843.73,1008.44,95.22,4,81.83,,,
read,1190929,26.47,100843.75,1008.44,95.22,4,81.83,,,
read,1191938,26.47,100843.31,1008.43,95.26,4,81.86,,,
read,1192947,26.47,100843.23,1008.43,95.26,4,81.87,,,
read,1193952,26.47,100843.27,1008.43,95.26,4,81.87,,,
read,1194960,26.47,100843.27,1008.43,95.26,4,81.87,,,
read,1195969,26.47,100842.81,1008.43,95.30,4,81.91,,,
read,1196983,26.47,100842.63,1008.43,95.31,4,81.92,,,
read,1197993,26.47,100842.91,1008.43,95.29,4,81.90,,,
read,1199008,26.47,100842.75,1008.43,95.30,4,81.91,,,
read,1200009,26.47,100842.30,1008.42,95.34,4,81.95,,,
read,1201011,26.47,100841.89,1008.42,95.38,4,81.98,,,
read,1201999,26.47,100841.31,1008.41,95.42,4,82.03,,,
read,1203005,26.47,100841.31,1008.41,95.42,4,82.03,,,
read,1204013,26.47,100841.51,1008.42,95.41,4,82.02,,,
read,1205023,26.47,100841.63,1008.42,95.40,4,82.00,,,
read,1206027,26.47,100842.28,1008.42,95.34,4,81.95,,,
read,1207035,26.47,100842.41,1008.42,95.33,4,81.94,,,
read,1208043,26.47,100842.29,1008.42,95.34,4,81.95,,,
read,1209054,26.48,100842.42,1008.42,95.33,4,81.94,,,
read,1210060,26.48,100842.33,1008.42,95.34,4,81.95,,,
read,1211079,26.48,100842.25,1008.42,95.35,4,81.95,,,
read,1212081,26.48,100842.33,1008.42,95.34,4,81.95,,,
read,1213084,26.48,100842.39,1008.42,95.33,4,81.94,,,
read,1214100,26.48,100841.96,1008.42,95.37,4,81.98,,,
read,1215118,26.48,100842.11,1008.42,95.36,4,81.97,,,
read,1216120,26.48,100843.13,1008.43,95.27,4,81.88,,,
read,1217122,26.48,100842.97,1008.43,95.29,4,81.89,,,
read,1218127,26.48,100843.09,1008.43,95.28,4,81.88,,,
read,1219138,26.48,100843.25,1008.43,95.26,4,81.87,,,
read,1220150,26.48,100843.61,1008.44,95.23,4,81.84,,,
read,1221162,26.48,100843.33,1008.43,95.26,4,81.86,,,
read,1222178,26.48,100842.92,1008.43,95.29,4,81.90,,,
read,1223192,26.49,100843.04,1008.43,95.28,4,81.89,,,
read,1224211,26.49,100843.27,1008.43,95.26,4,81.87,,,
read,1225213,26.49,100842.94,1008.43,95.29,4,81.90,,,
read,1226231,26.49,100843.20,1008.43,95.27,4,81.87,,,
read,1227248,26.49,100843.58,1008.44,95.23,4,81.84,,,
read,1228249,26.49,100843.58,1008.44,95.23,4,81.84,,,
read,1229252,26.49,100843.00,1008.43,95.28,4,81.89,,,
read,1230269,26.49,100842.81,1008.43,95.30,4,81.91,,,
read,1231276,26.50,100842.98,1008.43,95.28,4,81.89,,,
read,1232284,26.50,100842.85,1008.43,95.30,4,81.90,,,
read,1233296,26.50,100843.11,1008.43,95.27,4,81.88,,,
read,1234283,26.50,100842.87,1008.43,95.29,4,81.90,,,
read,1235302,26.51,100843.26,1008.43,95.26,4,81.87,,,
read,1236318,26.51,100843.61,1008.44,95.23,4,81.84,,,
read,1237338,26.52,100843.58,1008.44,95.23,4,81.84,,,
read,1238341,26.52,100843.52,1008.44,95.24,4,81.85,,,
read,1239356,26.52,100842.98,1008.43,95.28,4,81.89,,,
read,1240372,26.53,100843.17,1008.43,95.27,4,81.88,,,
read,1241380,26.53,100843.05,1008.43,95.28,4,81.89,,,
read,1242399,26.54,100842.73,1008.43,95.31,4,81.91,,,
read,1243402,26.54,100842.55,1008.43,95.32,4,81.93,,,
read,1244412,26.55,100841.89,1008.42,95.38,4,81.98,,,
read,1245422,26.55,100841.33,1008.41,95.42,4,82.03,,,
read,1246440,26.56,100841.13,1008.41,95.44,4,82.05,,,
read,1247454,26.56,100841.20,1008.41,95.43,4,82.04,,,
read,1248466,26.57,100841.73,1008.42,95.39,4,82.00,,,
read,1249469,26.58,100842.05,1008.42,95.36,4,81.97,,,
read,1250465,26.58,100842.38,1008.42,95.33,4,81.94,,,
read,1251483,26.59,100842.25,1008.42,95.35,4,81.95,,,
read,1252488,26.59,100842.55,1008.43,95.32,4,81.93,,,
read,1253494,26.60,100842.64,1008.43,95.31,4,81.92,,,
read,1254515,26.60,100842.73,1008.43,95.31,4,81.91,,,
read,1255521,26.61,100843.11,1008.43,95.27,4,81.88,,,
read,1256525,26.61,100843.14,1008.43,95.27,4,81.88,,,
read,1257526,26.62,100843.15,1008.43,95.27,4,81.88,,,
read,1258537,26.62,100843.16,1008.43,95.27,4,81.88,,,
read,1259551,26.63,100843.66,1008.44,95.23,4,81.84,,,
read,1260564,26.63,100844.04,1008.44,95.20,4,81.80,,,
read,1261583,26.64,100844.05,1008.44,95.19,4,81.80,,,
read,1262602,26.64,100843.98,1008.44,95.20,4,81.81,,,
read,1263617,26.65,100844.14,1008.44,95.19,4,81.80,,,
read,1264623,26.65,100843.91,1008.44,95.21,4,81.81,,,
read,1265630,26.66,100843.80,1008.44,95.22,4,81.82,,,
read,1266617,26.66,100843.48,1008.43,95.24,4,81.85,,,
read,1267634,26.67,100843.25,1008.43,95.26,4,81.87,,,
read,1268636,26.67,100843.80,1008.44,95.22,4,81.82,,,
read,1269657,26.68,100843.55,1008.44,95.24,4,81.85,,,
read,1270663,26.68,100843.36,1008.43,95.25,4,81.86,,,
read,1271668,26.69,100843.05,1008.43,95.28,4,81.89,,,
read,1272676,26.69,100843.08,1008.43,95.28,4,81.88,,,
read,1273690,26.70,100842.86,1008.43,95.29,4,81.90,,,
read,1274705,26.70,100842.98,1008.43,95.28,4,81.89,,,
read,1275721,26.71,100842.67,1008.43,95.31,4,81.92,,,
read,1276723,26.71,100842.62,1008.43,95.31,4,81.92,,,
read,1277728,26.72,100842.61,1008.43,95.32,4,81.92,,,
read,1278746,26.72,100842.23,1008.42,95.35,4,81.95,,,
read,1279758,26.73,100842.51,1008.43,95.32,4,81.93,,,
read,1280769,26.73,100842.58,1008.43,95.32,4,81.93,,,
read,1281780,26.74,100841.89,1008.42,95.38,4,81.98,,,
read,1282773,26.74,100841.81,1008.42,95.38,4,81.99,,,
read,1283783,26.75,100842.11,1008.42,95.36,4,81.97,,,
read,1284787,26.75,100842.25,1008.42,95.35,4,81.95,,,
read,1285796,26.76,100842.39,1008.42,95.33,4,81.94,,,
read,1287288,26.76,100842.88,1008.43,95.29,4,81.90,,,
read,1288297,26.76,100843.04,1008.43,95.28,4,81.89,,,
read,1289316,26.77,100843.03,1008.43,95.28,4,81.89,,,
read,1290318,26.78,100843.45,1008.43,95.24,4,81.85,,,
read,1291320,26.78,100843.52,1008.44,95.24,4,81.85,,,
read,1292322,26.79,100843.63,1008.44,95.23,4,81.84,,,
read,1293326,26.79,100843.58,1008.44,95.23,4,81.84,,,
read,1294329,26.79,100843.52,1008.44,95.24,4,81.85,,,
read,1295346,26.80,100843.44,1008.43,95.25,4,81.85,,,
read,1296361,26.80,100843.01,1008.43,95.28,4,81.89,,,
read,1297379,26.81,100843.05,1008.43,95.28,4,81.89,,,
read,1298382,26.81,100843.16,1008.43,95.27,4,81.88,,,
read,1299378,26.81,100843.82,1008.44,95.21,4,81.82,,,
read,1300393,26.82,100843.77,1008.44,95.22,4,81.83,,,
read,1301409,26.82,100843.67,1008.44,95.23,4,81.83,,,
calibration,853580,25.79,100698.76,1006.99,0.00,,,,,0
read,874559,25.91,101182.26,1011.82,-40.42,0,-40.42,,,
read,875563,25.90,101183.39,1011.83,-40.52,0,-40.52,,,
read,876574,25.91,101183.17,1011.83,-40.50,0,-40.50,,,
read,877592,25.91,101182.95,1011.83,-40.48,0,-40.48,,,
read,878593,25.92,101182.47,1011.82,-40.44,0,-40.44,,,
read,879599,25.92,101182.48,1011.82,-40.44,0,-40.44,,,
read,880618,25.93,101182.23,1011.82,-40.42,0,-40.42,,,
read,881619,25.93,101182.49,1011.82,-40.44,0,-40.44,,,
read,882624,25.93,101182.48,1011.82,-40.44,0,-40.44,,,
read,883630,25.93,101182.48,1011.82,-40.44,0,-40.44,,,
read,884635,25.94,101181.95,1011.82,-40.40,0,-40.40,,,
read,885643,25.94,101181.83,1011.82,-40.39,0,-40.39,,,
read,886634,25.94,101181.95,1011.82,-40.40,0,-40.40,,,
read,887647,25.94,101182.12,1011.82,-40.41,0,-40.41,,,
read,888667,25.95,101181.79,1011.82,-40.39,0,-40.39,,,
read,889670,25.95,101182.11,1011.82,-40.41,0,-40.41,,,
read,890687,25.95,101182.22,1011.82,-40.42,0,-40.42,,,
read,891704,25.95,101182.07,1011.82,-40.41,0,-40.41,,,
read,892720,25.95,101182.11,1011.82,-40.41,0,-40.41,,,
read,893720,25.96,101182.25,1011.82,-40.42,0,-40.42,,,
read,894725,25.96,101182.76,1011.83,-40.47,0,-40.47,,,
read,895736,25.96,101183.13,1011.83,-40.50,0,-40.50,,,
read,896744,25.96,101183.27,1011.83,-40.51,0,-40.51,,,
read,897747,25.96,101183.96,1011.84,-40.57,0,-40.57,,,
read,898757,25.97,101183.84,1011.84,-40.56,0,-40.56,,,
read,899769,25.97,101183.50,1011.84,-40.53,0,-40.53,,,
read,900784,25.97,101182.99,1011.83,-40.49,0,-40.49,,,
read,901792,25.97,101183.12,1011.83,-40.50,0,-40.50,,,
read,902795,25.97,101183.27,1011.83,-40.51,0,-40.51,,,
read,903814,25.97,101183.08,1011.83,-40.49,0,-40.49,,,
read,904833,25.97,101183.07,1011.83,-40.49,0,-40.49,,,
read,905836,25.98,101183.38,1011.83,-40.52,0,-40.52,,,
read,906842,25.98,101182.98,1011.83,-40.49,0,-40.49,,,
read,907847,25.98,101183.17,1011.83,-40.50,0,-40.50,,,
read,908856,25.98,101183.33,1011.83,-40.52,0,-40.52,,,
read,909865,25.98,101183.59,1011.84,-40.54,0,-40.54,,,
read,910876,25.99,101184.05,1011.84,-40.58,0,-40.58,,,
read,911881,25.99,101184.14,1011.84,-40.58,0,-40.58,,,
read,912890,25.99,101184.05,1011.84,-40.58,0,-40.58,,,
read,913903,25.99,101184.35,1011.84,-40.60,0,-40.60,,,
read,914920,25.99,101184.23,1011.84,-40.59,0,-40.59,,,
read,915928,26.00,101184.08,1011.84,-40.58,0,-40.58,,,
read,916943,26.00,101184.02,1011.84,-40.57,0,-40.57,,,
read,917944,26.00,101183.72,1011.84,-40.55,0,-40.55,,,
read,918938,26.00,101183.85,1011.84,-40.56,0,-40.56,,,
read,919938,26.00,101183.73,1011.84,-40.55,0,-40.55,,,
read,920944,26.01,101184.33,1011.84,-40.60,0,-40.60,,,
read,921954,26.01,101183.95,1011.84,-40.57,0,-40.57,,,
read,922965,26.01,101183.83,1011.84,-40.56,0,-40.56,,,
read,923969,26.01,101184.58,1011.85,-40.62,0,-40.62,,,
read,924977,26.01,101184.84,1011.85,-40.64,0,-40.64,,,
read,925991,26.01,101184.48,1011.84,-40.61,0,-40.61,,,
read,927007,26.02,101184.27,1011.84,-40.59,0,-40.59,,,
read,928013,26.02,101184.55,1011.85,-40.62,0,-40.62,,,
read,929026,26.02,101184.73,1011.85,-40.63,0,-40.63,,,
read,930028,26.02,101184.91,1011.85,-40.65,0,-40.65,,,
